epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9756,1.61214,1.70144,1.25401,0.86398,0.86426,0.91363,0.49409,1.44881,1.13141,1.22559,0.000416034,0.000416034,0.000416034
2,101.765,1.48665,1.075,1.18708,0.90043,0.87491,0.93946,0.53699,1.36494,1.00829,1.19944,0.000824457,0.000824457,0.000824457
3,151.322,1.4603,0.96269,1.17504,0.90885,0.86715,0.9374,0.53184,1.41317,0.89512,1.21461,0.00122463,0.00122463,0.00122463
4,200.669,1.43373,0.90531,1.17069,0.91418,0.91674,0.94956,0.55686,1.34266,0.94914,1.18184,0.00121287,0.00121287,0.00121287
5,249.99,1.41896,0.86938,1.1602,0.92888,0.9185,0.9578,0.56124,1.33533,0.81641,1.20189,0.0012005,0.0012005,0.0012005
6,299.314,1.39895,0.83474,1.15327,0.9335,0.93804,0.96287,0.5764,1.30882,0.80018,1.15798,0.00118812,0.00118812,0.00118812
7,348.698,1.38703,0.81328,1.13965,0.92998,0.93871,0.96388,0.57673,1.30512,0.84464,1.16377,0.00117575,0.00117575,0.00117575
8,398.05,1.37372,0.80593,1.14518,0.93708,0.92809,0.9608,0.57793,1.30112,0.7906,1.15291,0.00116337,0.00116337,0.00116337
9,447.437,1.36304,0.78469,1.13448,0.91799,0.92399,0.95634,0.56599,1.33432,0.78747,1.17848,0.001151,0.001151,0.001151
10,496.796,1.35275,0.76948,1.12545,0.94456,0.93367,0.96654,0.57483,1.31137,0.79472,1.16153,0.00113863,0.00113863,0.00113863
11,546.235,1.34411,0.76226,1.12969,0.93748,0.93619,0.96213,0.58027,1.29366,0.76219,1.15598,0.00112625,0.00112625,0.00112625
12,595.541,1.33788,0.75814,1.13062,0.94518,0.92579,0.9622,0.58947,1.27602,0.74915,1.15142,0.00111388,0.00111388,0.00111388
13,644.811,1.33913,0.74411,1.12641,0.94029,0.94208,0.97048,0.5859,1.28267,0.80783,1.16527,0.0011015,0.0011015,0.0011015
14,694.069,1.32478,0.73237,1.12142,0.94546,0.93485,0.96487,0.58735,1.28016,0.72927,1.16581,0.00108913,0.00108913,0.00108913
15,743.424,1.31892,0.72969,1.11513,0.94149,0.94476,0.96868,0.59185,1.27239,0.80896,1.16291,0.00107675,0.00107675,0.00107675
16,792.708,1.31709,0.73229,1.11836,0.95398,0.93594,0.9673,0.59077,1.28106,0.69902,1.16089,0.00106437,0.00106437,0.00106437
17,841.943,1.32405,0.7311,1.11994,0.94165,0.94274,0.9678,0.59747,1.27369,0.79504,1.14368,0.001052,0.001052,0.001052
18,891.237,1.30179,0.71729,1.11514,0.94119,0.93869,0.96715,0.59645,1.27494,0.75405,1.15967,0.00103962,0.00103962,0.00103962
19,940.536,1.30225,0.71183,1.11057,0.95606,0.93909,0.97219,0.60479,1.24894,0.71966,1.14491,0.00102725,0.00102725,0.00102725
20,989.817,1.30025,0.70932,1.11293,0.94796,0.92901,0.96717,0.59818,1.27067,0.73172,1.16075,0.00101488,0.00101488,0.00101488
21,1039.02,1.29887,0.71113,1.11949,0.95276,0.94328,0.96904,0.6021,1.26471,0.68668,1.15627,0.0010025,0.0010025,0.0010025
22,1088.36,1.28652,0.70373,1.10964,0.95234,0.94128,0.97037,0.60226,1.26385,0.80582,1.14453,0.000990125,0.000990125,0.000990125
23,1137.63,1.28938,0.69994,1.10655,0.94605,0.93942,0.9687,0.60201,1.25947,0.75952,1.1552,0.00097775,0.00097775,0.00097775
24,1186.86,1.29396,0.69751,1.11347,0.94265,0.94314,0.96548,0.60353,1.25077,0.73925,1.15874,0.000965375,0.000965375,0.000965375
25,1236.1,1.28497,0.69299,1.10786,0.9524,0.94304,0.96959,0.60756,1.23702,0.71621,1.1464,0.000953,0.000953,0.000953
26,1285.41,1.2728,0.68998,1.1048,0.95855,0.94834,0.97282,0.6078,1.25315,0.68977,1.16278,0.000940625,0.000940625,0.000940625
27,1334.67,1.27402,0.6885,1.10505,0.94955,0.94362,0.96891,0.60907,1.24139,0.73679,1.14919,0.00092825,0.00092825,0.00092825
28,1383.86,1.26807,0.68436,1.10315,0.95163,0.94172,0.97074,0.61089,1.23803,0.73143,1.14601,0.000915875,0.000915875,0.000915875
29,1433.07,1.26718,0.67963,1.10615,0.94385,0.93662,0.96783,0.60478,1.23914,0.71058,1.14567,0.0009035,0.0009035,0.0009035
30,1482.36,1.25947,0.67967,1.09994,0.95316,0.95554,0.97562,0.61639,1.23789,0.67464,1.14853,0.000891125,0.000891125,0.000891125
31,1531.61,1.25977,0.67191,1.09682,0.94784,0.94422,0.96886,0.61225,1.2381,0.73218,1.1461,0.00087875,0.00087875,0.00087875
32,1580.85,1.25227,0.6665,1.09474,0.95621,0.95352,0.97455,0.61651,1.22627,0.73209,1.14694,0.000866375,0.000866375,0.000866375
33,1630.15,1.24865,0.66405,1.0944,0.95515,0.94228,0.97024,0.61851,1.23988,0.68734,1.15171,0.000854,0.000854,0.000854
34,1679.36,1.24529,0.6587,1.08803,0.95052,0.94919,0.97092,0.61452,1.22312,0.67221,1.13991,0.000841625,0.000841625,0.000841625
35,1728.59,1.24876,0.66029,1.09356,0.94688,0.95397,0.9691,0.61235,1.23503,0.66824,1.14976,0.00082925,0.00082925,0.00082925
36,1777.8,1.25037,0.66097,1.0925,0.94414,0.93695,0.96057,0.60635,1.24506,0.72299,1.15497,0.000816875,0.000816875,0.000816875
37,1827.11,1.24517,0.65638,1.1003,0.95516,0.95208,0.97156,0.61653,1.24992,0.66219,1.16385,0.0008045,0.0008045,0.0008045
38,1876.31,1.24351,0.65898,1.09501,0.95479,0.95005,0.9715,0.61709,1.24134,0.66437,1.15877,0.000792125,0.000792125,0.000792125
39,1925.52,1.24071,0.65689,1.09384,0.95049,0.94605,0.96831,0.61744,1.21232,0.66051,1.13784,0.00077975,0.00077975,0.00077975
